food_number,food_name,cal_per_hundred
1107,こめ　［陸稲めし］　半つき米　　,166
1108,こめ　［陸稲めし］　七分つき米　　,168
1109,こめ　［陸稲めし］　精白米　　,168
1110,こめ　［うるち米製品］　アルファ化米　一般用　,388
1156,こめ　［うるち米製品］　アルファ化米　学校給食用強化品　,388
1111,こめ　［うるち米製品］　おにぎり　　,179
1112,こめ　［うるち米製品］　焼きおにぎり　　,181
1113,こめ　［うるち米製品］　きりたんぽ　　,210
1114,こめ　［うるち米製品］　上新粉　　,362
1157,こめ　［うるち米製品］　玄米粉　　,395
1158,こめ　［うるち米製品］　米粉　　,374
1159,こめ　［うるち米製品］　米粉パン　　,255
1160,こめ　［うるち米製品］　米粉めん　　,265
1115,こめ　［うるち米製品］　ビーフン　　,377
1116,こめ　［うるち米製品］　米こうじ　　,286
1117,こめ　［もち米製品］　もち　　,234
1118,こめ　［もち米製品］　赤飯　　,190
1119,こめ　［もち米製品］　あくまき　　,132
1120,こめ　［もち米製品］　白玉粉　　,369
1121,こめ　［もち米製品］　道明寺粉　　,372
1161,こめ　［その他］　米ぬか　　,412
1122,そば　そば粉　全層粉　　,361
1123,そば　そば粉　内層粉　　,359
1124,そば　そば粉　中層粉　　,360
1125,そば　そば粉　表層粉　　,358
1126,そば　そば米　　　,364
1127,そば　そば　生　　,274
1128,そば　そば　ゆで　　,132
1129,そば　干しそば　乾　　,344
1130,そば　干しそば　ゆで　　,114
1131,とうもろこし　玄穀　黄色種　　,350
1162,とうもろこし　玄穀　白色種　　,350
1132,とうもろこし　コーンミール　黄色種　　,363
1163,とうもろこし　コーンミール　白色種　　,363
1133,とうもろこし　コーングリッツ　黄色種　　,355
1164,とうもろこし　コーングリッツ　白色種　　,355
1134,とうもろこし　コーンフラワー　黄色種　　,363
1165,とうもろこし　コーンフラワー　白色種　　,363
1135,とうもろこし　ジャイアントコーン　フライ　味付け　　,435
1136,とうもろこし　ポップコーン　　　,484
1137,とうもろこし　コーンフレーク　　　,381
1138,はとむぎ　精白粒　　　,360
1139,ひえ　精白粒　　　,366
1140,もろこし　玄穀　　　,352
1141,もろこし　精白粒　　　,364
