food_number,food_name,cal
01107,こめ　［陸稲めし］　半つき米　　,166
01108,こめ　［陸稲めし］　七分つき米　　,168
01109,こめ　［陸稲めし］　精白米　　,168
01110,こめ　［うるち米製品］　アルファ化米　一般用　,388
01156,こめ　［うるち米製品］　アルファ化米　学校給食用強化品　,388
01111,こめ　［うるち米製品］　おにぎり　　,179
01112,こめ　［うるち米製品］　焼きおにぎり　　,181
01113,こめ　［うるち米製品］　きりたんぽ　　,210
01114,こめ　［うるち米製品］　上新粉　　,362
01157,こめ　［うるち米製品］　玄米粉　　,395
01158,こめ　［うるち米製品］　米粉　　,374
01159,こめ　［うるち米製品］　米粉パン　　,255
01160,こめ　［うるち米製品］　米粉めん　　,265
01115,こめ　［うるち米製品］　ビーフン　　,377
01116,こめ　［うるち米製品］　米こうじ　　,286
01117,こめ　［もち米製品］　もち　　,234
01118,こめ　［もち米製品］　赤飯　　,190
01119,こめ　［もち米製品］　あくまき　　,132
01120,こめ　［もち米製品］　白玉粉　　,369
01121,こめ　［もち米製品］　道明寺粉　　,372
01161,こめ　［その他］　米ぬか　　,412
01122,そば　そば粉　全層粉　　,361
01123,そば　そば粉　内層粉　　,359
01124,そば　そば粉　中層粉　　,360
01125,そば　そば粉　表層粉　　,358
01126,そば　そば米　　　,364
01127,そば　そば　生　　,274
01128,そば　そば　ゆで　　,132
01129,そば　干しそば　乾　　,344
01130,そば　干しそば　ゆで　　,114
01131,とうもろこし　玄穀　黄色種　　,350
01162,とうもろこし　玄穀　白色種　　,350
01132,とうもろこし　コーンミール　黄色種　　,363
01163,とうもろこし　コーンミール　白色種　　,363
01133,とうもろこし　コーングリッツ　黄色種　　,355
01164,とうもろこし　コーングリッツ　白色種　　,355
01134,とうもろこし　コーンフラワー　黄色種　　,363
01165,とうもろこし　コーンフラワー　白色種　　,363
01135,とうもろこし　ジャイアントコーン　フライ　味付け　　,435
01136,とうもろこし　ポップコーン　　　,484
01137,とうもろこし　コーンフレーク　　　,381
01138,はとむぎ　精白粒　　　,360
01139,ひえ　精白粒　　　,366
01140,もろこし　玄穀　　　,352
01141,もろこし　精白粒　　　,364
01142,ライむぎ　全粒粉　　　,334
01143,ライむぎ　ライ麦粉　　　,351
01166,穀類混合品　五穀　,357
02001,＜いも類＞きくいも　塊茎　生　　　,35
02041,＜いも類＞きくいも　塊茎　水煮　　　,28
02002,＜いも類＞こんにゃく　精粉　　　,177
02003,＜いも類＞こんにゃく　板こんにゃく　精粉こんにゃく　　,5
02004,＜いも類＞こんにゃく　板こんにゃく　生いもこんにゃく　　,7
02042,＜いも類＞こんにゃく　赤こんにゃく　　　,5
02043,＜いも類＞こんにゃく　凍みこんにゃく　乾　　,167
02044,＜いも類＞こんにゃく　凍みこんにゃく　ゆで　　,36
02005,＜いも類＞こんにゃく　しらたき　　　,6
02006,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　生　　,134
